id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour Strings,Aurora Ensemble,classical,peaceful,0.22,68,0.57,0.28,0.95
12,City Cipher,Night Syntax,hip hop,confident,0.74,96,0.66,0.84,0.14
13,Static Rebellion,Iron Static,metal,aggressive,0.97,168,0.34,0.52,0.03
14,Island Almanac,Sundial Roots,reggae,uplifted,0.63,88,0.82,0.77,0.46
15,Dusty Highway Postcard,River Mile,country,nostalgic,0.48,102,0.69,0.57,0.64
16,Laser Marathon,Pulse Vector,edm,euphoric,0.94,128,0.79,0.91,0.06
17,Blue Lantern,Marble Avenue,blues,melancholic,0.33,74,0.40,0.49,0.83
18,Sunset Block Party,Copper Avenue,funk,playful,0.81,116,0.86,0.89,0.21
